Material,Use,Su,Sy,E,G,mu,Ro
ISO Nodular cast iron,No,500,320,169000,70000,0.2,7160
ISO Nodular cast iron,No,600,370,169000,70000,0.2,7160
ISO Nodular cast iron,No,700,420,169000,70000,0.2,7160
ISO Nodular cast iron,No,800,480,169000,70000,0.2,7160
ISO Malleable cast iron,No,400,180,160000,64000,0.27,7160
ISO Malleable cast iron,No,500,260,160000,64000,0.27,7160
DIN DIN 9SMn28,Yes,460,375,206000,80000,0.3,7860
DIN DIN 10S2O,Yes,460,355,206000,80000,0.3,7860
DIN DIN 35S20,Yes,580,365,206000,80000,0.3,7860
DIN DIN USt1303,No,270,250,206000,80000,0.3,7860
DIN DIN St1405,No,270,210,206000,80000,0.3,7860
DIN DIN St1203,No,270,280,206000,80000,0.3,7860
DIN DIN USt34-2,No,330,195,206000,80000,0.3,7860
DIN DIN St34-2BK,Yes,410,320,206000,80000,0.3,7860
DIN DIN St37.0,Yes,350,225,206000,80000,0.3,7860
DIN DIN HI,Yes,360,225,206000,80000,0.3,7860
DIN DIN St37-2,Yes,340,225,206000,80000,0.3,7860
DIN DIN St37-2BK,Yes,440,350,206000,80000,0.3,7860
DIN DIN RSt37-2,Yes,340,225,206000,80000,0.3,7860
DIN DIN St37-3,Yes,340,225,206000,80000,0.3,7860
DIN DIN HII,Yes,410,255,206000,80000,0.3,7860
DIN DIN St44-2,Yes,410,265,206000,80000,0.3,7860
DIN DIN St44.0,Yes,420,265,206000,80000,0.3,7860
DIN DIN St44-3,Yes,410,265,206000,80000,0.3,7860
DIN DIN St50-2,Yes,470,285,206000,80000,0.3,7860
DIN DIN St52-3,Yes,490,345,206000,80000,0.3,7860
DIN DIN St52.0,Yes,500,345,206000,80000,0.3,7860
DIN DIN St52-3BK,Yes,590,470,206000,80000,0.3,7860
DIN DIN St60-2,Yes,570,325,206000,80000,0.3,7860
DIN DIN St70-2,Yes,670,355,206000,80000,0.3,7860
DIN DIN Ck10 case-hardened,Yes,440,275,206000,80000,0.3,7860
DIN DIN Ck15 case-hardened,Yes,495,295,206000,80000,0.3,7860
DIN DIN Ck22,Yes,500,300,206000,80000,0.3,7860
DIN DIN Ck25,Yes,500,320,206000,80000,0.3,7860
DIN DIN Ck30,Yes,550,350,206000,80000,0.3,7860
DIN DIN Ck35,Yes,600,370,206000,80000,0.3,7860
DIN DIN Cf35,Yes,580,360,206000,80000,0.3,7860
DIN DIN Ck40 heat treated,Yes,630,400,206000,80000,0.3,7860
DIN DIN Ck45 normalized,Yes,535,320,206000,80000,0.3,7860
DIN DIN Ck45 heat treated,Yes,650,430,206000,80000,0.3,7860
DIN DIN Cf45,Yes,660,410,206000,80000,0.3,7860
DIN DIN Ck50 face hardened,No,700,460,206000,80000,0.3,7860
DIN DIN Cf53,No,690,430,206000,80000,0.3,7860
DIN DIN Ck55 heat treated,No,750,500,206000,80000,0.3,7860
DIN DIN Ck60 normalized,Yes,680,400,206000,80000,0.3,7860
DIN DIN Ck60 heat treated,No,800,520,206000,80000,0.3,7860
DIN DIN Ck60 nitro-carburized,No,800,520,206000,80000,0.3,7860
DIN DIN 17Mn4,Yes,460,290,206000,80000,0.3,7860
DIN DIN 28Mn6,No,690,490,206000,80000,0.3,7860
DIN DIN 17Cr3,Yes,590,340,206000,80000,0.3,7860
DIN DIN 34Cr4,No,800,590,206000,80000,0.3,7860
DIN DIN 37Cr4 heat treated,No,850,630,206000,80000,0.3,7860
DIN DIN 37Cr4 face hardened,No,850,630,206000,80000,0.3,7860
DIN DIN 37Cr4 nitro-case-hard.,No,1700,1300,206000,80000,0.3,7860
DIN DIN 38Cr4,No,830,630,206000,80000,0.3,7860
DIN DIN 41Cr4,No,900,660,206000,80000,0.3,7860
DIN DIN 42Cr4,No,880,670,206000,80000,0.3,7860
DIN DIN 37CrS4,No,850,630,206000,80000,0.3,7860
DIN DIN 41CrS4,No,880,665,206000,80000,0.3,7860
DIN DIN 55Cr3 heat treated,No,1450,1270,206000,80000,0.3,7860
DIN DIN 16MnCr5 case-hardened,No,900,680,206000,80000,0.3,7860
DIN DIN 20MnCr5,No,980,680,206000,80000,0.3,7860
DIN DIN 54SiCr6 heat treated,No,1370,1180,206000,80000,0.3,7860
DIN DIN 15Mo3,Yes,440,270,206000,80000,0.3,7860
DIN DIN 13CrMo4,Yes,450,295,206000,80000,0.3,7860
DIN DIN WTSt52-3,Yes,490,345,206000,80000,0.3,7860
DIN DIN 25CrMo4,No,800,600,206000,80000,0.3,7860
DIN DIN 34CrMo4,No,900,650,206000,80000,0.3,7860
DIN DIN 42CrMo4,No,1000,750,206000,80000,0.3,7860
DIN DIN 41CrMo4,No,980,760,206000,80000,0.3,7860
DIN DIN 49CrMo4,No,880,690,206000,80000,0.3,7860
DIN DIN 30CrV9 nitrided,No,800,600,206000,80000,0.3,7860
DIN DIN 42CrV6 heat treated,No,980,850,206000,80000,0.3,7860
DIN DIN 42CrV6 face hardened,No,980,850,206000,80000,0.3,7860
DIN DIN 50CrV4 heat treated,No,1370,1180,206000,80000,0.3,7860
DIN DIN 10CrMo9-10,Yes,480,300,206000,80000,0.3,7860
DIN DIN 41CrAlMo7,No,930,735,206000,80000,0.3,7860
DIN DIN 32CrMo12,No,1230,1030,206000,80000,0.3,7860
DIN DIN 31CrMo12,No,1000,750,206000,80000,0.3,7860
DIN DIN 17CrNiMo6,No,1080,785,206000,80000,0.3,7860
DIN DIN 10Ni14,Yes,490,355,206000,80000,0.3,7860
DIN DIN 34CrNiMo6,No,1100,900,206000,80000,0.3,7860
DIN DIN 30CrNiMo8,No,1250,1050,206000,80000,0.3,7860
DIN DIN 12Ni19,Yes,530,390,206000,80000,0.3,7860
DIN DIN X8Ni9,No,680,585,206000,80000,0.3,7860
DIN DIN X6Cr13,Yes,400,250,206000,80000,0.3,7860
DIN DIN X6Cr17,Yes,450,270,206000,80000,0.3,7860
DIN DIN X10Cr13,Yes,600,420,206000,80000,0.3,7860
DIN DIN X20Cr13,Yes,650,450,206000,80000,0.3,7860
DIN DIN X30Cr13,No,800,600,206000,80000,0.3,7860
DIN DIN X45CrSi93,No,900,700,206000,80000,0.3,7860
DIN DIN X6CrAl13,Yes,400,250,206000,80000,0.3,7860
DIN DIN X20CrNi172,No,750,550,206000,80000,0.3,7860
DIN DIN X85CrMoV182,No,1000,800,206000,80000,0.3,7860
DIN DIN X5CrNi1810,No,500,195,206000,80000,0.3,7860
DIN DIN X10CrNiS189,No,500,195,206000,80000,0.3,7860
DIN DIN X6CrNiTi1810,No,500,200,206000,80000,0.3,7860
DIN DIN X2CrNi1911,No,460,180,206000,80000,0.3,7860
DIN DIN X2CrNiN1810,Yes,550,270,206000,80000,0.3,7860
DIN DIN X5CrNiMo17122,No,510,205,206000,80000,0.3,7860
DIN DIN X6CrNiMoTi17122,No,500,210,206000,80000,0.3,7860
DIN DIN X2CrNiMo17132,No,490,190,206000,80000,0.3,7860
DIN DIN X2CrNiMo18143,No,490,190,206000,80000,0.3,7860
DIN DIN X5CrNiMo17133,No,510,205,206000,80000,0.3,7860
DIN DIN X2CrNiMoN17122,Yes,580,280,206000,80000,0.3,7860
DIN DIN X2CrNiMoN17133,Yes,580,295,206000,80000,0.3,7860
DIN DIN X2CrNiMoN17135,Yes,580,285,206000,80000,0.3,7860
DIN DIN X8CrMnNi188,Yes,590,295,206000,80000,0.3,7860
DIN DIN X53CrMnNiN219,No,950,580,206000,80000,0.3,7860
DIN DIN GG - 15,No,150,150,85000,34000,0.25,7160
DIN DIN GG - 20,No,200,200,85000,34000,0.25,7160
DIN DIN GG - 25,No,250,250,85000,34000,0.25,7160
DIN DIN GG - 30,No,300,300,85000,34000,0.25,7160
DIN DIN GG - 35,No,350,350,85000,34000,0.25,7160
DIN DIN GGG - 50,No,500,320,169000,70000,0.2,7160
DIN DIN GGG - 60,No,600,370,169000,70000,0.2,7160
DIN DIN GGG - 70,No,700,420,169000,70000,0.2,7160
DIN DIN GGG - 80,No,800,480,169000,70000,0.2,7160
DIN DIN GTS - 40,No,400,180,160000,64000,0.27,7160
DIN DIN GTS - 50,No,500,260,160000,64000,0.27,7160
BS BS 230M07,Yes,430,300,206000,80000,0.3,7860
BS BS 212M36,Yes,635,370,206000,80000,0.3,7860
BS BS CR3GP,No,280,140,206000,80000,0.3,7860
BS BS CR2PL,No,280,140,206000,80000,0.3,7860
BS BS CR4GP,No,280,140,206000,80000,0.3,7860
BS BS CEW2BK,Yes,420,355,206000,80000,0.3,7860
BS BS CFS3NBK,Yes,360,215,206000,80000,0.3,7860
BS BS Grade 360,Yes,360,225,206000,80000,0.3,7860
BS BS CEW3BK,Yes,450,360,206000,80000,0.3,7860
BS BS 40B,Yes,340,225,206000,80000,0.3,7860
BS BS 40C,Yes,340,225,206000,80000,0.3,7860
BS BS Grade 430,Yes,410,225,206000,80000,0.3,7860
BS BS 43B,Yes,430,245,206000,80000,0.3,7860
BS BS CFS6NBK,Yes,460,280,206000,80000,0.3,7860
BS BS 43D,Yes,430,245,206000,80000,0.3,7860
BS BS 50B,Yes,490,355,206000,80000,0.3,7860
BS BS 50C,Yes,490,355,206000,80000,0.3,7860
BS BS 50D,Yes,490,355,206000,80000,0.3,7860
BS BS CFS8NBK,Yes,540,340,206000,80000,0.3,7860
BS BS CEW5BK,Yes,600,480,206000,80000,0.3,7860
BS BS 55C,Yes,550,430,206000,80000,0.3,7860
BS BS 55E,Yes,550,430,206000,80000,0.3,7860
BS BS 070M26,Yes,490,245,206000,80000,0.3,7860
BS BS 080M30,Yes,550,310,206000,80000,0.3,7860
BS BS 080M36,Yes,625,370,206000,80000,0.3,7860
BS BS 080A35,Yes,625,370,206000,80000,0.3,7860
BS BS 080M40,Yes,625,355,206000,80000,0.3,7860
BS BS 080M46,Yes,625,340,206000,80000,0.3,7860
BS BS 060A47,No,700,400,206000,80000,0.3,7860
BS BS 080M50,Yes,625,360,206000,80000,0.3,7860
BS BS 060A57,No,775,450,206000,80000,0.3,7860
BS BS 070M55,No,775,450,206000,80000,0.3,7860
BS BS 150M19,Yes,550,325,206000,80000,0.3,7860
BS BS 251A58 heat treated,No,1300,1100,206000,80000,0.3,7860
BS BS 530A36,No,700,510,206000,80000,0.3,7860
BS BS 530M40 heat treated,No,775,570,206000,80000,0.3,7860
BS BS 530M40 face hardened,No,850,665,206000,80000,0.3,7860
BS BS 525A60 heat treated,No,1380,1180,206000,80000,0.3,7860
BS BS 708A25,No,850,665,206000,80000,0.3,7860
BS BS 708A37,No,850,665,206000,80000,0.3,7860
BS BS 708M40 heat treated,No,850,665,206000,80000,0.3,7860
BS BS 708M40 face hardened,No,925,740,206000,80000,0.3,7860
BS BS 735A51 heat treated,No,1370,1180,206000,80000,0.3,7860
BS BS 905M39 nitrided,No,775,570,206000,80000,0.3,7860
BS BS 722M22,No,850,665,206000,80000,0.3,7860
BS BS 722M24 nitrided,No,850,685,206000,80000,0.3,7860
BS BS 817M40 heat treated,No,1075,925,206000,80000,0.3,7860
BS BS 403S17,Yes,420,245,206000,80000,0.3,7860
BS BS 410S21,Yes,550,340,206000,80000,0.3,7860
BS BS 420S37,No,700,490,206000,80000,0.3,7860
BS BS 430S17,Yes,430,245,206000,80000,0.3,7860
BS BS 401S45,No,900,685,206000,80000,0.3,7860
BS BS 431S29,No,850,635,206000,80000,0.3,7860
BS BS 304S15,No,480,195,206000,80000,0.3,7860
BS BS 303S31,No,510,190,206000,80000,0.3,7860
BS BS 321S31,No,490,195,206000,80000,0.3,7860
BS BS 304S11,No,480,180,206000,80000,0.3,7860
BS BS 310S31,No,510,205,206000,80000,0.3,7860
BS BS 316S11,No,490,190,206000,80000,0.3,7860
BS BS 316S31,No,510,205,206000,80000,0.3,7860
BS BS 349S54,No,950,580,206000,80000,0.3,7860
BS Grey cast iron,No,150,150,85000,34000,0.25,7160
BS Grey cast iron,No,200,200,85000,34000,0.25,7160
BS Grey cast iron,No,250,250,85000,34000,0.25,7160
BS Grey cast iron,No,300,300,85000,34000,0.25,7160
BS Grey cast iron,No,350,350,85000,34000,0.25,7160
BS Nodular cast iron,No,500,320,169000,70000,0.2,7160
BS Nodular cast iron,No,600,370,169000,70000,0.2,7160
BS Nodular cast iron,No,700,420,169000,70000,0.2,7160
BS Nodular cast iron,No,800,480,169000,70000,0.2,7160
BS Malleable cast iron,No,400,180,160000,64000,0.27,7160
BS Malleable cast iron,No,500,260,160000,64000,0.27,7160
CSN CSN 10370,No,350,200,206000,80000,0.3,7860
CSN CSN 11110,Yes,400,226,206000,80000,0.3,7860
CSN CSN 11110 normalized,Yes,471,373,206000,80000,0.3,7860
CSN CSN 11120,Yes,400,255,206000,80000,0.3,7860
CSN CSN 11140 normalized,No,660,520,206000,80000,0.3,7860
CSN CSN 11301,No,280,200,206000,80000,0.3,7860
CSN CSN 11305,No,290,215,206000,80000,0.3,7860
CSN CSN 11321,No,280,200,206000,80000,0.3,7860
CSN CSN 11343,No,330,195,206000,80000,0.3,7860
CSN CSN 11353,Yes,340,225,206000,80000,0.3,7860
CSN CSN 11368,Yes,350,225,206000,80000,0.3,7860
CSN CSN 11373,Yes,340,225,206000,80000,0.3,7860
CSN CSN 11378,Yes,360,235,206000,80000,0.3,7860
CSN CSN 11418,Yes,410,255,206000,80000,0.3,7860
CSN CSN 11423,Yes,420,240,206000,80000,0.3,7860
CSN CSN 11448,Yes,430,285,206000,80000,0.3,7860
CSN CSN 11453,Yes,440,265,206000,80000,0.3,7860
CSN CSN 11500,Yes,490,265,206000,80000,0.3,7860
CSN CSN 11503,Yes,490,340,206000,80000,0.3,7860
CSN CSN 11523 normalized,Yes,510,345,206000,80000,0.3,7860
CSN CSN 11600,Yes,590,315,206000,80000,0.3,7860
CSN CSN 11600 face hardened,Yes,590,315,206000,80000,0.3,7860
CSN CSN 11700,No,686,355,206000,80000,0.3,7860
CSN CSN 11700 face hardened,No,686,355,206000,80000,0.3,7860
CSN CSN 12010 case-hardened,Yes,490,325,206000,80000,0.3,7860
CSN CSN 12020,Yes,550,350,206000,80000,0.3,7860
CSN CSN 12020 case-hardened,Yes,490,295,206000,80000,0.3,7860
CSN CSN 12024,Yes,480,300,206000,80000,0.3,7860
CSN CSN 12030,Yes,500,320,206000,80000,0.3,7860
CSN CSN 12031,Yes,550,350,206000,80000,0.3,7860
CSN CSN 12040,Yes,600,370,206000,80000,0.3,7860
CSN CSN 12041,Yes,630,400,206000,80000,0.3,7860
CSN CSN 12050 normalized,Yes,530,305,206000,80000,0.3,7860
CSN CSN 12050 heat treated,Yes,640,390,206000,80000,0.3,7860
CSN CSN 12051,No,690,440,206000,80000,0.3,7860
CSN CSN 12060,No,750,480,206000,80000,0.3,7860
CSN CSN 12061 heat treated,No,800,500,206000,80000,0.3,7860
CSN CSN 12071 heat treated,No,1770,1470,206000,80000,0.3,7860
CSN CSN 13030,Yes,460,285,206000,80000,0.3,7860
CSN CSN 13141,No,690,490,206000,80000,0.3,7860
CSN CSN 13180 heat treated,No,1570,1320,206000,80000,0.3,7860
CSN CSN 13220 normalized,Yes,670,430,206000,80000,0.3,7860
CSN CSN 13221 normalized,Yes,680,440,206000,80000,0.3,7860
CSN CSN 13240,No,780,540,206000,80000,0.3,7860
CSN CSN 13242,No,880,685,206000,80000,0.3,7860
CSN CSN 13251 heat treated,No,1270,1080,206000,80000,0.3,7860
CSN CSN 13270 heat treated,No,1420,1210,206000,80000,0.3,7860
CSN CSN 14120,Yes,588,343,206000,80000,0.3,7860
CSN CSN 14140 heat treated,No,883,637,206000,80000,0.3,7860
CSN CSN 14140 face hardened,No,932,785,206000,80000,0.3,7860
CSN CSN 14140 nitro-case-hard.,No,1716,1373,206000,80000,0.3,7860
CSN CSN 14141,No,883,687,206000,80000,0.3,7860
CSN CSN 14146,No,932,785,206000,80000,0.3,7860
CSN CSN 14148,Yes,657,490,206000,80000,0.3,7860
CSN CSN 14220,No,900,680,206000,80000,0.3,7860
CSN CSN 14220 case-hardened,No,785,588,206000,80000,0.3,7860
CSN CSN 14221,No,981,686,206000,80000,0.3,7860
CSN CSN 14223 case-hardened,No,883,687,206000,80000,0.3,7860
CSN CSN 14230 case-hardened,No,981,794,206000,80000,0.3,7860
CSN CSN 14260 heat treated,No,1370,1175,206000,80000,0.3,7860
CSN CSN 14262 heat treated,No,1470,1275,206000,80000,0.3,7860
CSN CSN 15020,Yes,440,265,206000,80000,0.3,7860
CSN CSN 15121,Yes,430,295,206000,80000,0.3,7860
CSN CSN 15127,Yes,470,345,206000,80000,0.3,7860
CSN CSN 15130,No,690,490,206000,80000,0.3,7860
CSN CSN 15131,No,930,735,206000,80000,0.3,7860
CSN CSN 15141,No,880,665,206000,80000,0.3,7860
CSN CSN 15142,No,1000,750,206000,80000,0.3,7860
CSN CSN 15217,Yes,470,345,206000,80000,0.3,7860
CSN CSN 15222 normalized,No,690,490,206000,80000,0.3,7860
CSN CSN 15230 heat treated,No,1000,850,206000,80000,0.3,7860
CSN CSN 15230 Heat-treatment nitrided steel,No,780,635,206000,80000,0.3,7860
CSN CSN 15241 heat treated,No,1177,981,206000,80000,0.3,7860
CSN CSN 15241 heat treated,No,1716,1373,206000,80000,0.3,7860
CSN CSN 15241 face hardened,No,1177,981,206000,80000,0.3,7860
CSN CSN 15260,No,900,700,206000,80000,0.3,7860
CSN CSN 15313,Yes,480,265,206000,80000,0.3,7860
CSN CSN 15330 Heat-treatment nitrided steel,No,834,637,206000,80000,0.3,7860
CSN CSN 15340,No,981,785,206000,80000,0.3,7860
CSN CSN 15432,No,690,490,206000,80000,0.3,7860
CSN CSN 16220 case-hardened,No,883,637,206000,80000,0.3,7860
CSN CSN 16223,No,835,590,206000,80000,0.3,7860
CSN CSN 16321,No,880,635,206000,80000,0.3,7860
CSN CSN 16326,No,1080,785,206000,80000,0.3,7860
CSN CSN 16329,Yes,440,285,206000,80000,0.3,7860
CSN CSN 16343,No,1100,900,206000,80000,0.3,7860
CSN CSN 16420 case-hardened,No,932,785,206000,80000,0.3,7860
CSN CSN 16430 heat treated,No,1080,880,206000,80000,0.3,7860
CSN CSN 16527,Yes,590,390,206000,80000,0.3,7860
CSN CSN 16640 heat treated,No,1569,1275,206000,80000,0.3,7860
CSN CSN 17020 normalized,Yes,441,245,206000,80000,0.3,7860
CSN CSN 17021 normalized,Yes,590,415,206000,80000,0.3,7860
CSN CSN 17022 normalized,No,690,455,206000,80000,0.3,7860
CSN CSN 17023 normalized,No,740,495,206000,80000,0.3,7860
CSN CSN 17040 normalized,Yes,440,265,206000,80000,0.3,7860
CSN CSN 17041 normalized,Yes,440,295,206000,80000,0.3,7860
CSN CSN 17113 normalized,Yes,441,245,206000,80000,0.3,7860
CSN CSN 17115 normalized,No,930,685,206000,80000,0.3,7860
CSN CSN 17125 normalized,Yes,460,270,206000,80000,0.3,7860
CSN CSN 17145 normalized,No,800,560,206000,80000,0.3,7860
CSN CSN 17150 normalized,No,900,650,206000,80000,0.3,7860
CSN CSN 17240 normalized,No,490,186,206000,80000,0.3,7860
CSN CSN 17241 normalized,No,530,195,206000,80000,0.3,7860
CSN CSN 17243 normalized,No,500,190,206000,80000,0.3,7860
CSN CSN 17246 normalized,No,550,210,206000,80000,0.3,7860
CSN CSN 17247 normalized,No,500,195,206000,80000,0.3,7860
CSN CSN 17248 normalized,No,500,205,206000,80000,0.3,7860
CSN CSN 17249 normalized,No,440,175,206000,80000,0.3,7860
CSN CSN 17251 normalized,Yes,650,350,206000,80000,0.3,7860
CSN CSN 17253 normalized,No,700,350,206000,80000,0.3,7860
CSN CSN 17255 normalized,Yes,600,250,206000,80000,0.3,7860
CSN CSN 17256 normalized,Yes,500,230,206000,80000,0.3,7860
CSN CSN 17259 normalized,Yes,540,265,206000,80000,0.3,7860
CSN CSN 17265 normalized,Yes,550,230,206000,80000,0.3,7860
CSN CSN 17346 normalized,No,550,205,206000,80000,0.3,7860
CSN CSN 17348 normalized,Yes,550,215,206000,80000,0.3,7860
CSN CSN 17359 normalized,Yes,540,275,206000,80000,0.3,7860
CSN CSN 17460 normalized,Yes,635,295,206000,80000,0.3,7860
CSN CSN 17465 normalized,No,980,590,206000,80000,0.3,7860
CSN CSN 17501 normalized,Yes,640,490,206000,80000,0.3,7860
CSN CSN 422303,No,360,240,169000,70000,0.2,7160
CSN CSN 422304,No,420,270,169000,70000,0.2,7160
CSN CSN 422305,No,500,320,169000,70000,0.2,7160
CSN CSN 422306,No,600,370,169000,70000,0.2,7160
CSN CSN 422307,No,700,420,169000,70000,0.2,7160
CSN CSN 422308,No,800,480,169000,70000,0.2,7160
CSN CSN 422410,No,100,100,80000,32000,0.25,7160
CSN CSN 422415,No,150,150,85000,34000,0.25,7160
CSN CSN 422420,No,200,200,91000,36400,0.25,7160
CSN CSN 422425,No,250,250,105000,42000,0.25,7160
CSN CSN 422430,No,300,300,110000,44000,0.25,7160
CSN CSN 422435,No,350,350,115000,46000,0.25,7160
CSN CSN 422540,No,400,180,160000,64000,0.27,7160
CSN CSN 422555,No,580,300,160000,64000,0.27,7160
CSN CSN 422630,No,363,200,206000,80000,0.3,7160
CSN CSN 422640,Yes,441,240,206000,80000,0.3,7160
CSN CSN 422650,Yes,490,260,206000,80000,0.3,7160
CSN CSN 242660,Yes,588,300,206000,80000,0.3,7160
CSN CSN 422670,No,686,350,206000,80000,0.3,7160
CSN CSN 422709,Yes,530,300,206000,80000,0.3,7160
CSN CSN 422712,Yes,422,250,206000,80000,0.3,7160
CSN CSN 422713,Yes,490,290,206000,80000,0.3,7160
CSN CSN 422724,Yes,637,420,206000,80000,0.3,7160
CSN CSN 422735,No,785,520,206000,80000,0.3,7160
CSN CSN 422739,No,830,550,206000,80000,0.3,7160
CSN CSN 422753,No,981,650,206000,80000,0.3,7160
CSN CSN 422906,Yes,550,390,206000,80000,0.3,7160
CSN CSN 422912,Yes,500,320,206000,80000,0.3,7160
CSN CSN 423042,No,380,265,120000,45000,0.31,8800
CSN CSN 423044,No,380,265,120000,45000,0.31,8800
CSN CSN 423045,No,380,265,120000,45000,0.31,8800
CSN CSN 423047,No,380,265,120000,45000,0.31,8800
CSN CSN 423115,No,180,160,105000,40000,0.31,8800
CSN CSN 423119,No,180,160,105000,40000,0.31,8800
CSN CSN 423123,No,180,160,105000,40000,0.31,8800
CSN CSN 423135,No,150,120,105000,40000,0.31,8800
CSN CSN 423137,No,170,100,105000,40000,0.31,8800
CSN CSN 423145,No,400,130,120000,45000,0.32,8800
CSN CSN 423147,No,400,130,120000,45000,0.32,8800
CSN CSN 423210,No,330,100,100000,37000,0.34,8500
CSN CSN 423212,No,330,100,100000,37000,0.34,8500
CSN CSN 423213,No,330,100,100000,37000,0.34,8500
CSN CSN 423214,No,330,100,100000,37000,0.34,8500
CSN CSN 423256,No,350,255,100000,37000,0.34,8500
CSN CSN 423311,No,600,350,100000,37000,0.34,8500
CSN CSN 424201,No,400,230,73000,26000,0.33,2700
CSN CSN 424203,No,430,230,73000,26000,0.33,2700
CSN CSN 424204,No,430,230,73000,26000,0.33,2700
CSN CSN 424250,No,340,190,73000,26000,0.33,2700
CSN CSN 424401,No,280,100,73000,26000,0.33,2700
CSN CSN 424413,No,200,110,73000,26000,0.33,2700
CSN CSN 424415,No,200,110,73000,26000,0.33,2700
GOST Steel ST3KP GOST 380-94,Yes,360,235,201000,78000,0.29,7856
GOST Steel ST3PC GOST 380-94,Yes,370,245,201000,78000,0.29,7856
GOST Steel ST3CP GOST 380-94,Yes,380,255,201000,78000,0.29,7856
GOST Steel ST4KP GOST 380-94,Yes,400,255,201000,78000,0.29,7856
GOST Steel ST4PS GOST 380-94,Yes,410,265,201000,78000,0.29,7856
GOST Steel ST4SP GOST 380-94,Yes,410,265,201000,78000,0.29,7856
GOST Steel ST5PS GOST 380-94,Yes,490,285,201000,78000,0.29,7856
GOST Steel ST5SP GOST 380-94,Yes,490,295,201000,78000,0.29,7856
GOST Steel ST6PS GOST 380-94,Yes,590,315,201000,78000,0.29,7856
GOST Steel ST6SP GOST 380-94,Yes,600,320,201000,78000,0.29,7856
GOST Steel S235 GOST 27772-88,Yes,360,225,206000,80000,0.3,7860
GOST Steel S245 GOST 27772-88,Yes,370,235,206000,80000,0.3,7860
GOST Steel S255 GOST 27772-88,Yes,370,245,206000,80000,0.3,7860
GOST Steel S285 GOST 27772-88,Yes,390,265,206000,80000,0.3,7860
GOST Steel S345 GOST 27772-88,Yes,450,325,206000,80000,0.3,7860
GOST Steel S375 GOST 27772-88,Yes,480,335,206000,80000,0.3,7860
GOST Steel 08 GOST 1050-88 normalized,No,320,196,203000,78000,0.3,7871
GOST Steel 10 GOST 1050-88 normalized,No,330,205,206000,79000,0.3,7856
GOST Steel 10 GOST 1050-88 case-hardened,Yes,400,250,206000,79000,0.3,7856
GOST Steel 10 GOST 1050-88 Cold working,Yes,410,250,206000,79000,0.3,7856
GOST Steel 10 GOST 1050-88 Annealing or high tempering,No,290,190,206000,79000,0.3,7856
GOST Steel 15 GOST 1050-88 normalized,Yes,370,225,201000,78000,0.29,7850
GOST Steel 15 GOST 1050-88 case-hardened,Yes,450,250,201000,78000,0.29,7850
GOST Steel 15 GOST 1050-88 Cold working,Yes,440,340,201000,78000,0.29,7850
GOST Steel 15 GOST 1050-88 Annealing or high tempering,Yes,340,220,201000,78000,0.29,7850
GOST Steel 20 GOST 1050-88 normalized,Yes,410,245,212000,82000,0.29,7859
GOST Steel 20 GOST 1050-88 case-hardened,Yes,500,300,212000,82000,0.29,7859
GOST Steel 20 GOST 1050-88 Cold working,Yes,490,300,212000,82000,0.29,7859
GOST Steel 20 GOST 1050-88 Annealing or high tempering,Yes,390,240,212000,82000,0.29,7859
GOST Steel 25 GOST 1050-88 normalized,Yes,450,275,198000,77000,0.29,7820
GOST Steel 25 GOST 1050-88 case-hardened,Yes,550,350,198000,77000,0.29,7820
GOST Steel 25 GOST 1050-88 Cold working,Yes,540,350,198000,77000,0.29,7820
GOST Steel 25 GOST 1050-88 Annealing or high tempering,Yes,410,270,198000,77000,0.29,7820
GOST Steel 30 GOST 1050-88 normalized,Yes,490,295,200000,77000,0.3,7850
GOST Steel 30 GOST 1050-88 Improved,Yes,600,350,200000,77000,0.3,7850
GOST Steel 30 GOST 1050-88 Cold working,Yes,560,340,200000,77000,0.3,7850
GOST Steel 30 GOST 1050-88 Annealing or high tempering,Yes,440,290,200000,77000,0.3,7850
GOST Steel 30 GOST 1050-88 Quenched and tempered,Yes,575,295,200000,77000,0.3,7850
GOST Steel 35 GOST 1050-88 normalized,Yes,530,315,206000,79000,0.3,7826
GOST Steel 35 GOST 1050-88 Improved,Yes,650,380,206000,79000,0.3,7826
GOST Steel 35 GOST 1050-88 Quenching and cooling in the water,No,1000,650,206000,79000,0.3,7826
GOST Steel 35 GOST 1050-88 Cold working,Yes,590,350,206000,79000,0.3,7826
GOST Steel 35 GOST 1050-88 Annealing or high tempering,Yes,470,310,206000,79000,0.3,7826
GOST Steel 35 GOST 1050-88 Quenched and tempered,Yes,625,315,206000,79000,0.3,7826
GOST Steel 40 GOST 1050-88 normalized,Yes,570,335,212000,82000,0.29,7850
GOST Steel 40 GOST 1050-88 Improved,No,700,400,212000,82000,0.29,7850
GOST Steel 40 GOST 1050-88 Quenching and cooling in the water,No,1000,650,212000,82000,0.29,7850
GOST Steel 40 GOST 1050-88 Cold working,Yes,610,380,212000,82000,0.29,7850
GOST Steel 40 GOST 1050-88 Annealing or high tempering,Yes,510,330,212000,82000,0.29,7850
GOST Steel 40 GOST 1050-88 Quenched and tempered,Yes,675,355,212000,82000,0.29,7850
GOST Steel 45 GOST 1050-88 normalized,Yes,600,355,200000,77000,0.3,7810
GOST Steel 45 GOST 1050-88 Improved,No,750,450,200000,77000,0.3,7810
